"Ticker","Name","Exchange"
"EGPLTL=X","EGP/LTL","CCY"
"MDLGBP=X","MDL/GBP","CCY"
"SARZAR=X","SAR/ZAR","CCY"
"JPYSCR=X","JPY/SCR","CCY"
"HRKAED=X","HRK/AED","CCY"
"CHFBND=X","CHF/BND","CCY"
"SEKMUR=X","SEK/MUR","CCY"
"JPYRUB=X","JPY/RUB","CCY"
"HKDINR=X","HKD/INR","CCY"
"LKRCZK=X","LKR/CZK","CCY"
"MXNISK=X","MXN/ISK","CCY"
"29134357=X","SGD/CZK","CCY"
"CADTMT=X","CAD/TMT","CCY"
"29134361=X","UAH/CZK","CCY"
"HRKTRY=X","HRK/TRY","CCY"
"CZKBMD=X","CZK/BMD","CCY"
"29134366=X","UYU/VEF","CCY"
"NOKDKK=X","NOK/DKK","CCY"
"NZDLTL=X","NZD/LTL","CCY"
"MRO=X","USD/MRO","CCY"
"TTDCAD=X","TTD/CAD","CCY"
"AEDRUB=X","AED/RUB","CCY"
"ZARPLN=X","ZAR/PLN","CCY"
"PLNTHB=X","PLN/THB","CCY"
"TWDMYR=X","TWD/MYR","CCY"
"SGDIDR=X","SGD/IDR","CCY"
"CHFBDT=X","CHF/BDT","CCY"
"TNDKWD=X","TND/KWD","CCY"
"EUR-BDT.F","EUR/BDT","FRA"
"SARCNY=X","SAR/CNY","CCY"
"SHP=X","USD/SHP","CCY"
"VUVAED=X","VUV/AED","CCY"
"KES=X","USD/KES","CCY"
"BRLCNY=X","BRL/CNY","CCY"
"EUR-HKD.F","EUR/HKD","FRA"
"JPYPEN=X","JPY/PEN","CCY"
"HRKBRL=X","HRK/BRL","CCY"
"CLFGBP=X","CLF/GBP","CCY"
"EURLKR=X","EUR/LKR","CCY"
"MURJOD=X","MUR/JOD","CCY"
"CZKRUB=X","CZK/RUB","CCY"
"LVLKES=X","LVL/KES","CCY"
"SIT=X","USD/SIT","CCY"
"C3AR.EX","CARREFOUR DIV","EUX"
"VUVILS=X","VUV/ILS","CCY"
"EURGNF=X","EUR/GNF","CCY"
"ANGCAD=X","ANG/CAD","CCY"
"MZNCAD=X","MZN/CAD","CCY"
"EUR-LYD.F","EUR/LYD","FRA"
"JPYSLL=X","JPY/SLL","CCY"
"EUR-EGP.F","EUR/EGP","FRA"
"JPYLKR=X","JPY/LKR","CCY"
"ZMK=X","USD/ZMK","CCY"
"BRLVEF=X","BRL/VEF","CCY"
"ISKPLN=X","ISK/PLN","CCY"
"GBPLTL=X","GBP/LTL","CCY"
"SAROMR=X","SAR/OMR","CCY"
"RUBEUR=X","RUB/EUR","CCY"
"CADJMD=X","CAD/JMD","CCY"
"AEDOMR=X","AED/OMR","CCY"
"CHFSGD=X","CHF/SGD","CCY"
"LKRLTL=X","LKR/LTL","CCY"
"EUR-IRR.F","EUR/IRR","FRA"
"PHPKRW=X","PHP/KRW","CCY"
"SEKMYR=X","SEK/MYR","CCY"
"OMRSEK=X","OMR/SEK","CCY"
"NADEUR=X","NAD/EUR","CCY"
"LTLRSD=X","LTL/RSD","CCY"
"GHSHRK=X","GHS/HRK","CCY"
"BWPJPY=X","BWP/JPY","CCY"
"SGDILS=X","SGD/ILS","CCY"
"EUR-IDR.F","EUR/IDR","FRA"
"CADJOD=X","CAD/JOD","CCY"
"ANG=X","USD/ANG","CCY"
"XF000EURHKD0.SG","EUR/HKD FIXING","STU"
"PHPVND=X","PHP/VND","CCY"
"HKDLKR=X","HKD/LKR","CCY"
"EUR-DZD.F","EUR/DZD","FRA"
"EURKZT=X","EUR/KZT","CCY"
"EURMVR=X","EUR/MVR","CCY"
"GHSBGN=X","GHS/BGN","CCY"
"CADHUF=X","CAD/HUF","CCY"
"TRYILS=X","TRY/ILS","CCY"
"LTLSEK=X","LTL/SEK","CCY"
"DKKQAR=X","DKK/QAR","CCY"
"CLFEUR=X","CLF/EUR","CCY"
"MURNOK=X","MUR/NOK","CCY"
"BWPLKR=X","BWP/LKR","CCY"
"GBPRSD=X","GBP/RSD","CCY"
"EURBND=X","EUR/BND","CCY"
"GHSBHD=X","GHS/BHD","CCY"
"QARZAR=X","QAR/ZAR","CCY"
"OMRKRW=X","OMR/KRW","CCY"
"CHFNAD=X","CHF/NAD","CCY"
"CADTOP=X","CAD/TOP","CCY"
"MOPGBP=X","MOP/GBP","CCY"
"MYRRUB=X","MYR/RUB","CCY"
"JODPLN=X","JOD/PLN","CCY"
"CHFNPR=X","CHF/NPR","CCY"
"PHPKWD=X","PHP/KWD","CCY"
"JODSGD=X","JOD/SGD","CCY"
"EUREGP=X","EUR/EGP","CCY"
"JPYCOP=X","JPY/COP","CCY"
"GDO.AS","GOLD 1 UZ","AMS"
"THBLVL=X","THB/LVL","CCY"
"MURSGD=X","MUR/SGD","CCY"
"RONCNY=X","RON/CNY","CCY"
"CADSZL=X","CAD/SZL","CCY"
"NOKBRL=X","NOK/BRL","CCY"
"MYRAED=X","MYR/AED","CCY"
"FJDJPY=X","FJD/JPY","CCY"
"PHPTHB=X","PHP/THB","CCY"
"GHSNOK=X","GHS/NOK","CCY"
"LTLMXN=X","LTL/MXN","CCY"
"CADEUR=X","CAD/EUR","CCY"
"WSTUSD=X","WST/USD","CCY"
"LTLOMR=X","LTL/OMR","CCY"
"JPYTJS=X","JPY/TJS","CCY"
"CNHIDR=X","CNH/IDR","CCY"
"NZDHKD=X","NZD/HKD","CCY"
"EOB.PA","MALTING BARLEY","PAR"
"LTLCAD=X","LTL/CAD","CCY"
"985793=X","EUR/LTL","CCY"
"HNL=X","USD/HNL","CCY"
"BHDSGD=X","BHD/SGD","CCY"
"SEKNOK=X","SEK/NOK","CCY"
"VUVMUR=X","VUV/MUR","CCY"
"CADHTG=X","CAD/HTG","CCY"
"MYRZAR=X","MYR/ZAR","CCY"
"CADKRW=X","CAD/KRW","CCY"
"EURMNT=X","EUR/MNT","CCY"
"EURBIF=X","EUR/BIF","CCY"
"FCEP.EX","EUR/GBP","EUX"
"CNHKRW=X","CNH/KRW","CCY"
"GHSPEN=X","GHS/PEN","CCY"
"SGDLVL=X","SGD/LVL FIXING","CCY"
"ARSCLP=X","ARS/CLP","CCY"
"ARSHKD=X","ARS/HKD","CCY"
"NOKUSD=X","NOK/USD","CCY"
"MROMAD=X","MRO/MAD","CCY"
"THBDKK=X","THB/DKK","CCY"
"SEKSAR=X","SEK/SAR","CCY"
"THBLKR=X","THB/LKR","CCY"
"EURSEK=X","EUR/SEK","CCY"
"SEKISK=X","SEK/ISK","CCY"
"MYRINR=X","MYR/INR","CCY"
"IEPCHF=X","IEP/CHF","CCY"
"CHFMGA=X","CHF/MGA","CCY"
"RUBPLN=X","RUB/PLN","CCY"
"EURISK=X","EUR/ISK","CCY"
"INRILS=X","INR/ILS","CCY"
"LKRCAD=X","LKR/CAD","CCY"
"RONDKK=X","RON/DKK","CCY"
"KRWISK=X","KRW/ISK","CCY"
"KWDUSD=X","KWD/USD","CCY"
"KESHUF=X","KES/HUF","CCY"
"TNDZAR=X","TND/ZAR","CCY"
"THBEUR=X","THB/EUR","CCY"
"NZDTHB=X","NZD/THB","CCY"
"CNYUGX=X","CNY/UGX","CCY"
"THBSEK=X","THB/SEK","CCY"
"SARSEK=X","SAR/SEK","CCY"
"TNDSEK=X","TND/SEK","CCY"
"9B4B.MU","CARBON DIOXIDE","MUN"
"EURCHF=X","EUR/CHF","CCY"
"LVLLTL=X","LVL/LTL","CCY"
"INRSGD=X","INR/SGD","CCY"
"TRYTWD=X","TRY/TWD","CCY"
"GBPUAH=X","GBP/UAH","CCY"
"ZARCHF=X","ZAR/CHF","CCY"
"GBPZMK=X","GBP/ZMK","CCY"
"GBPNAD=X","GBP/NAD","CCY"
"MZNCHF=X","MZN/CHF","CCY"
"JPYZAR=X","JPY/ZAR","CCY"
"GHSISK=X","GHS/ISK","CCY"
"NGNUSD=X","NGN/USD","CCY"
"CNYISK=X","CNY/ISK","CCY"
"GDEBQ.MDD","ELECT. BASE.GER Q","MDD"
"GBPGIP=X","GBP/GIP","CCY"
"29134342=X","HUF/CZK","CCY"
"JPYUYU=X","JPY/UYU","CCY"
"UGXTZS=X","UGX/TZS","CCY"
"GBPMRO=X","GBP/MRO","CCY"
"IDEBQ.MDD","ELECT BASELOAD Q","MDD"
"EUR-MNT.F","EUR/MNT","FRA"
"SGDZWL=X","SGD/ZWL","CCY"
"CADBYR=X","CAD/BYR","CCY"
"TWDAED=X","TWD/AED","CCY"
"RUBSAR=X","RUB/SAR","CCY"
"HKDBHD=X","HKD/BHD","CCY"
"CNYGBP=X","CNY/GBP","CCY"
"CADBZD=X","CAD/BZD","CCY"
"JPYSHP=X","JPY/SHP","CCY"
"EURMAD=X","EUR/MAD","CCY"
"MYRPEN=X","MYR/PEN","CCY"
"CHFMRO=X","CHF/MRO","CCY"
"EURPYG=X","EUR/PYG","CCY"
"CHFEUR=X","CHF/EUR","CCY"
"MYRCHF=X","MYR/CHF","CCY"
"19753383.SW","GOLD 999.9/1000    ","EBS"
"ETBUSD=X","ETB/USD","CCY"
"NPRCHF=X","NPR/CHF","CCY"
"NOKMYR=X","NOK/MYR","CCY"
"QARILS=X","QAR/ILS","CCY"
"EUR-MAD.F","EUR/MAD","FRA"
"TWDDKK=X","TWD/DKK","CCY"
"JPYUZS=X","JPY/UZS","CCY"
"ZMWGBP=X","ZMW/GBP","CCY"
"MADINR=X","MAD/INR","CCY"
"JODKES=X","JOD/KES","CCY"
"LKRMXN=X","LKR/MXN","CCY"
"MXNUSD=X","MXN/USD","CCY"
"CADRSD=X","CAD/RSD","CCY"
"CADBTN=X","CAD/BTN","CCY"
"AUDIDR=X","AUD/IDR","CCY"
"INRCZK=X","INR/CZK","CCY"
"NZDHRK=X","NZD/HRK","CCY"
"OMRMUR=X","OMR/MUR","CCY"
"EURGYD=X","EUR/GYD","CCY"
"985840=X","EUR/ZMK","CCY"
"JPYLVL=X","JPY/LVL","CCY"
"KGSUSD=X","KGS/USD","CCY"
"CHFCAD=X","CHF/CAD","CCY"
"CHFARS=X","CHF/ARS","CCY"
"HKDMYR=X","HKD/MYR","CCY"
"MADMXN=X","MAD/MXN","CCY"
"GHSNZD=X","GHS/NZD","CCY"
"AUDXDR=X","AUD/XDR","CCY"
"AUDANG=X","AUD/ANG","CCY"
"UGXIDR=X","UGX/IDR","CCY"
"GBPRON=X","GBP/RON","CCY"
"PLNBMD=X","PLN/BMD","CCY"
"TOPUSD=X","TOP/USD","CCY"
"MVRUSD=X","MVR/USD","CCY"
"DKKTRY=X","DKK/TRY","CCY"
"CHFPGK=X","CHF/PGK","CCY"
"GHSDKK=X","GHS/DKK","CCY"
"KWDHUF=X","KWD/HUF","CCY"
"EUR-BGN.F","EUR/BGN","FRA"
"TWDNZD=X","TWD/NZD","CCY"
"PLNARS=X","PLN/ARS","CCY"
"RONTHB=X","RON/THB","CCY"
"LKRXDR=X","LKR/XDR","CCY"
"XCDDKK=X","XCD/DKK","CCY"
"GBPTMT=X","GBP/TMT","CCY"
"LYDMAD=X","LYD/MAD","CCY"
"CZKZAR=X","CZK/ZAR","CCY"
"INRGBP=X","INR/GBP","CCY"
"AEDEGP=X","AED/EGP","CCY"
"DKKJOD=X","DKK/JOD","CCY"
"TWDSEK=X","TWD/SEK","CCY"
"RUBKES=X","RUB/KES","CCY"
"VEFUYU=X","VEF/UYU","CCY"
"NZDMAD=X","NZD/MAD","CCY"
"KWDOMR=X","KWD/OMR","CCY"
"EURSDG=X","EUR/SDG","CCY"
"GHSUSD=X","GHS/USD","CCY"
"29134338=X","DKK/CLP","CCY"
"HKDCZK=X","HKD/CZK","CCY"
"LVLTHB=X","LVL/THB","CCY"
"PENCHF=X","PEN/CHF","CCY"
"ZARAOA=X","ZAR/AOA","CCY"
"LTLTND=X","LTL/TND","CCY"
"EURTTD=X","EUR/TTD","CCY"
"TWDHKD=X","TWD/HKD","CCY"
"ARS=X","USD/ARS","CCY"
"EURAFN=X","EUR/AFN","CCY"
"RONRUB=X","RON/RUB","CCY"
"VEFXDR=X","VEF/XDR","CCY"
"GHSTRY=X","GHS/TRY","CCY"
"CHFSVC=X","CHF/SVC","CCY"
"ZARMXN=X","ZAR/MXN","CCY"
"CADLRD=X","CAD/LRD","CCY"
"29134355=X","SEK/CLP","CCY"
"EURSHP=X","EUR/SHP","CCY"
"HKDDKK=X","HKD/DKK","CCY"
"EUR-NOK.F","EUR/NOK","FRA"
"LTLISK=X","LTL/ISK","CCY"
"EURUAH=X","EUR/UAH","CCY"
"LTLUSD=X","LTL/USD","CCY"
"SRDEUR=X","SRD/EUR","CCY"
"QARTWD=X","QAR/TWD","CCY"
"CADSLL=X","CAD/SLL","CCY"
"CHFLKR=X","CHF/LKR","CCY"
"SCR=X","USD/SCR","CCY"
"CHBEZ.SW","BEZ.KURSE","EBS"
"GBPCHF=X","GBP/CHF","CCY"
"HRK=X","USD/HRK","CCY"
"MURKRW=X","MUR/KRW","CCY"
"EURAOA=X","EUR/AOA","CCY"
"XF000EURHUF4.SG","EUR/HUF FIXING","STU"
"BTNGBP=X","BTN/GBP","CCY"
"AEDCNY=X","AED/CNY","CCY"
"29134370=X","VEF/MXN","CCY"
"MXNIDR=X","MXN/IDR","CCY"
"MURGBP=X","MUR/GBP","CCY"
"LVLCAD=X","LVL/CAD","CCY"
"LVLHKD=X","LVL/HKD","CCY"
"SGDUSD=X","SGD/USD","CCY"
"JPYBIF=X","JPY/BIF","CCY"
"DJF=X","USD/DJF","CCY"
"PHPCNY=X","PHP/CNY","CCY"
"881349.MC","ESP/EUR FIXING","MCE"
"BBDEUR=X","BBD/EUR","CCY"
"KWDAUD=X","KWD/AUD","CCY"
"TOP=X","USD/TOP","CCY"
"CHFQAR=X","CHF/QAR","CCY"
"HKDZAR=X","HKD/ZAR","CCY"
"CNYAUD=X","CNY/AUD","CCY"
"TZS=X","USD/TZS","CCY"
"CNYGHS=X","CNY/GHS","CCY"
"HKDCAD=X","HKD/CAD","CCY"
"PKRPHP=X","PKR/PHP","CCY"
"MURKWD=X","MUR/KWD","CCY"
"SEKKRW=X","SEK/KRW","CCY"
"EUR-SGD.F","EUR/SGD","FRA"
"CZKCAD=X","CZK/CAD","CCY"
"LKRPHP=X","LKR/PHP","CCY"
"NOKSEK=X","NOK/SEK","CCY"
"PLNVEF=X","PLN/VEF","CCY"
"INRHUF=X","INR/HUF","CCY"
"AUDCLP=X","AUD/CLP","CCY"
"THBIDR=X","THB/IDR","CCY"
"ZMWJPY=X","ZMW/JPY","CCY"
"CHFTWD=X","CHF/TWD","CCY"
"EURZWL=X","EUR/ZWL","CCY"
"CADRON=X","CAD/RON","CCY"
"AOACHF=X","AOA/CHF","CCY"
"SZL=X","USD/SZL","CCY"
"TWD=X","USD/TWD","CCY"
"PLNPEN=X","PLN/PEN","CCY"
"VNDKRW=X","VND/KRW","CCY"
"AEDZAR=X","AED/ZAR","CCY"
"NZDCLP=X","NZD/CLP","CCY"
"CAD=X","USD/CAD","CCY"
"CHFCNH=X","CHF/CNH","CCY"
"BWPAUD=X","BWP/AUD","CCY"
"EOLS.F","EUR/GBP FIXING","FRA"
"GBPVEF=X","GBP/VEF","CCY"
"IDRJPY=X","IDR/JPY","CCY"
"AUDGIP=X","AUD/GIP","CCY"
"EURXOF=X","EUR/XOF","CCY"
"BDTSGD=X","BDT/SGD","CCY"
"IDEBM.MDD","ELECTR BASELOAD M ","MDD"
"BWPVND=X","BWP/VND","CCY"
"EURBBD=X","EUR/BBD","CCY"
"CHFAUD=X","CHF/AUD","CCY"
"GHSCAD=X","GHS/CAD","CCY"
"BZDGBP=X","BZD/GBP","CCY"
"CADIDR=X","CAD/IDR","CCY"
"PLN=X","USD/PLN","CCY"
"HRKHKD=X","HRK/HKD","CCY"
"AUDLTL=X","AUD/LTL","CCY"
"MADKWD=X","MAD/KWD","CCY"
"SVCGBP=X","SVC/GBP","CCY"
"CHFTMT=X","CHF/TMT","CCY"
"RUBKRW=X","RUB/KRW","CCY"
"EUR-HTG.F","EUR/HTG","FRA"
"CHFHKD=X","CHF/HKD","CCY"
"MYRTWD=X","MYR/TWD","CCY"
"CNYSGD=X","CNY/SGD","CCY"
"MYRCOP=X","MYR/COP","CCY"
"INRRUB=X","INR/RUB","CCY"
"AOAUSD=X","AOA/USD","CCY"
"XCD=X","USD/XCD","CCY"
"ILSSEK=X","ILS/SEK","CCY"
"PHPSGD=X","PHP/SGD","CCY"
"BOBPYG=X","BOB/PYG","CCY"
"IDRKES=X","IDR/KES","CCY"
"NZDEUR=X","NZD/EUR","CCY"
"EGPRUB=X","EGP/RUB","CCY"
"GBPGHS=X","GBP/GHS","CCY"
"RONHKD=X","RON/HKD","CCY"
"NZDLVL=X","NZD/LVL","CCY"
"NIOGBP=X","NIO/GBP","CCY"
"JODAMD=X","JOD/AMD","CCY"
"EUR-LRD.F","EUR/LRD","FRA"
"EURDKKFIX=X","EUR/DKK FIXING","CCY"
"29134349=X","NOK/CLP","CCY"
"CHFAMD=X","CHF/AMD","CCY"
"BGNCHF=X","BGN/CHF","CCY"
"JOD=X","USD/JOD","CCY"
"LVLNOK=X","LVL/NOK","CCY"
"DOPCHF=X","DOP/CHF","CCY"
